,P_values,LowerCI,UpperCI,Coefficients
const,6.4854706371594505e-09,-0.6182764854726897,-0.30610569354520795,0.6299019607843094
GCAT_1,0.0005168189765126966,-0.965895230123464,-0.2688507782534711,0.5393594732116164
GCAT_2,0.6519618590146083,-0.36315188721291985,0.5802539857436614,1.114661809752471
const,2.5340132887870432e-06,-0.5702084881493318,-0.23486520889880244,0.6686217007493901
GDOG_1.0,0.9975649654654196,-11829.767689708318,11792.984605397109,1.0295672706154293e-08
GDOG_2.0,0.001930104693293429,-0.7116345578404346,-0.16042010594832873,0.646600052889569
const,0.028208789114193795,0.02113208903887906,0.37451939762096187,1.2187500000000007
GELEC_1.0,4.789852909960891e-10,-2.7484680986698202,-1.4323117246900625,0.123638918159466
GELEC_2.0,9.833838938364495e-29,-2.1991718986930566,-1.5401906719718539,0.15417279111546603
const,5.889220814157672e-08,-0.7516274352249858,-0.3525097293750922,0.5757575757575762
GFLOOR6A_1.0,0.20174578964707957,-2.1150191180188838,0.44656756037918,0.43421052631578905
GFLOOR6A_2.0,0.8457960833699847,-0.29542308398724637,0.24208658982291528,0.9736842105263117
GFLOOR6A_9.0,0.9553949798828382,-1.4039566032857906,1.4864425203538874,1.042105263157894
const,0.008172820039301039,-0.6562888537308793,-0.09761102186939935,0.6859504132231431
GWASTE_1.0,0.5233480015618601,-0.5739992646537191,0.29201295718429,0.868495257626247
GWASTE_2.0,1.5029413482697816e-09,-2.0856018487404766,-1.0641880448095,0.20702930063448985
GWASTE_3.0,0.4047774360958779,-0.1960628674168329,0.48597640983473156,1.1559895971551386
const,0.54055568964738,-0.5260228110990373,0.2756965251911082,0.8823529411765072
AgeGroups_1.0,0.17576564727352872,-0.753936246479139,0.13788322014102122,0.7348958333332998
AgeGroups_2.0,0.0020092393644962183,-1.1589813085255816,-0.259143963206187,0.49210526315787534
const,3.304452848343247e-05,-0.9943406166618519,-0.3565545902591888,0.5089285714285836
FamilyGrouped_1.0,0.6159784480906014,-0.2766475827084252,0.4669304272437291,1.099814382372287
FamilyGrouped_2.0,0.4457511758685948,-0.2380586204328857,0.5412435792412778,1.1636859138136326
const,0.0026918890751133507,-1.672304636083361,-0.35089718727355457,0.36363636363637164
ToiletType_1.0,0.10853207604250113,-0.12234965183469726,1.228116941229529,1.7382583170254122
ToiletType_2.0,0.02699419358388427,-2.100588345610448,-0.12671198645489679,0.3283582089552166
const,1.479437963411786e-11,-0.6133654387524821,-0.3373166449284251,0.6216730038022832
WaterSource_1.0,0.0001321273808632455,-1.859784892695569,-0.5990292081003744,0.2924659438420898
WaterSource_2.0,0.0508938290422611,-2.1698166775580936,0.004209525145901338,0.33864477708031454
const,0.053302555311315794,-0.0023730619876558556,0.3358607876918276,1.1814516129032266
ADD,3.9522088218712904e-35,-2.4897293902136663,-1.8085179931639155,0.1165862785471844
const,2.513392476445078e-11,-0.6608724310308106,-0.3607788165011546,0.6000000000000049
AnyAllr,0.07461327449874963,-0.6099357731700009,0.028865490301611785,0.7478632478632424
const,1.3079809760753838e-13,-0.7631020407805308,-0.44369974462681416,0.5469483568075103
AnyPars3,0.565610132663777,-0.20141570416417848,0.36846657099970154,1.0871128639368985
const,1.9549111836013035e-20,-0.8287583568477872,-0.5393375165618652,0.5045703839122512
CookArea,0.00011977070059802354,0.35797159501243747,1.1017433504598055,2.0747848731883978
const,3.601821336734016e-18,-0.8319785971835107,-0.525772975725709,0.5071868583162231
DEWORM,0.006986100124296365,0.11563934802990666,0.7302454766049082,1.5264463889251596
const,5.839047335176558e-09,-0.5805556684536528,-0.2880922046866126,0.6477024070021957
GCOW,3.767361855048871e-05,-1.110337772333961,-0.3946243559329101,0.4711960336960293
const,2.4660563460333013e-06,-2.3070816745426828,-0.9513994049178306,0.1960784313725536
HCIGR6A,0.0016575233842887078,0.4181689757690852,1.800723516193948,3.032678571428534
